# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cycles:u'
# Event count (approx.): 2288360700315
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
    42.07%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c4                                                                                                                                                                             -      -            
     9.76%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c1c                                                                                                                                                                             -      -            
     9.62%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230f24                                                                                                                                                                             -      -            
     7.53%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                                                                                                              -      -            
     2.78%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1324                                                                                                                                                                             -      -            
     2.39%  ABE      ABE                                                 [.] polint_                                                                                                                                                                                        -      -            
     2.36%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13b0                                                                                                                                                                             -      -            
     2.18%  ABE      ABE                                                 [.] kodis_                                                                                                                                                                                         -      -            
     1.89%  ABE      ABE                                                 [.] fdderivs_                                                                                                                                                                                      -      -            
     1.59%  ABE      ABE                                                 [.] lopsided_                                                                                                                                                                                      -      -            
     1.45%  ABE      libopen-pal.so.80.0.5                               [.] opal_progress                                                                                                                                                                                  -      -            
     1.41%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                                                                                                                   -      -            
     0.95%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608c8                                                                                                                                                                             -      -            
     0.92%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                                                                                                             -      -            
     0.85%  ABE      ABE                                                 [.] prolong3_                                                                                                                                                                                      -      -            
     0.72%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c28                                                                                                                                                                             -      -            
     0.71%  ABE      libc.so.6                                           [.] malloc                                                                                                                                                                                         -      -            
