# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 436113444229
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                      IPC   [IPC Coverage]
# ........  .......  ..................................................  ..........................................................................................................  ....................
#
    25.47%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                       -      -            
    12.55%  ABE      ABE                                                 [.] polint_                                                                                                 -      -            
    10.36%  ABE      ABE                                                 [.] kodis_                                                                                                  -      -            
     8.21%  ABE      ABE                                                 [.] fdderivs_                                                                                               -      -            
     5.58%  ABE      ABE                                                 [.] lopsided_                                                                                               -      -            
     3.84%  ABE      ABE                                                 [.] prolong3_                                                                                               -      -            
     3.72%  ABE      libc.so.6                                           [.] malloc                                                                                                  -      -            
     3.26%  ABE      libc.so.6                                           [.] cfree@GLIBC_2.17                                                                                        -      -            
     3.00%  ABE      ABE                                                 [.] fderivs_                                                                                                -      -            
     2.99%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c1c                                                                                      -      -            
     2.84%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230f24                                                                                      -      -            
     2.37%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c4                                                                                      -      -            
     2.30%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                            -      -            
     2.19%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                      -      -            
     1.08%  ABE      ABE                                                 [.] enforce_ga_                                                                                             -      -            
     0.85%  ABE      ABE                                                 [.] rungekutta4_rout_                                                                                       -      -            
     0.68%  ABE      ABE                                                 [.] restrict3_                                                                                              -      -            
     0.66%  ABE      libm.so.6                                           [.] pow@@GLIBC_2.29                                                                                         -      -            
     0.57%  ABE      ABE                                                 [.] polin3_                                                                                                 -      -            
     0.42%  ABE      libc.so.6                                           [.] malloc_consolidate                                                                                      -      -            
     0.37%  ABE      ABE                                                 [.] symmetry_bd_                                                                                            -      -            
     0.36%  ABE      ABE                                                 [.] misc::fact(int)                                                                                         -      -            
     0.35%  ABE      ABE                                                 [.] Ansorg::interpolate_tri_bar(double, double, double, int, int, int, double*, double*, double*, double*)  -      -            
     0.32%  ABE      [unknown]                                           [k] 0xffffbb7146732894                                                                                      -      -            
     0.29%  ABE      libopen-pal.so.80.0.5                               [.] opal_progress                                                                                           -      -            
     0.27%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c28                                                                                      -      -            
     0.25%  python3  python3.13                                          [.] _PyEval_EvalFrameDefault                                                                                -      -            
     0.25%  ABE      ABE                                                 [.] decide3d_                                                                                               -      -            
     0.23%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608c8                                                                                      -      -            
     0.17%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f124c                                                                                      -      -            
     0.17%  ABE      libopen-pal.so.80.0.5                               [.] 0x0000000000027238                                                                                      -      -            
     0.15%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1230                                                                                      -      -            
