# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles:u'
# Event count (approx.): 1358516150022
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                                                                                                                                                                                              IPC   [IPC Coverage]
# ........  .......  ..................................................  ..................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    29.69%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c4                                                                                                                                                                                                                                                                                                                                              -      -            
    17.12%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                                                                                                                                                                                                                                                                               -      -            
     8.73%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c1c                                                                                                                                                                                                                                                                                                                                              -      -            
     8.33%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230f24                                                                                                                                                                                                                                                                                                                                              -      -            
     4.16%  ABE      ABE                                                 [.] polint_                                                                                                                                                                                                                                                                                                                                                         -      -            
     3.56%  ABE      ABE                                                 [.] kodis_                                                                                                                                                                                                                                                                                                                                                          -      -            
     2.81%  ABE      ABE                                                 [.] fdderivs_                                                                                                                                                                                                                                                                                                                                                       -      -            
     2.21%  ABE      ABE                                                 [.] lopsided_                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.78%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1324                                                                                                                                                                                                                                                                                                                                              -      -            
     1.65%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13b0                                                                                                                                                                                                                                                                                                                                              -      -            
     1.50%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                                                                                                                                                                                                                                                                              -      -            
     1.49%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.45%  ABE      ABE                                                 [.] prolong3_                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.25%  ABE      libopen-pal.so.80.0.5                               [.] opal_progress                                                                                                                                                                                                                                                                                                                                                   -      -            
     1.09%  ABE      libc.so.6                                           [.] cfree@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                -      -            
     1.04%  ABE      ABE                                                 [.] fderivs_                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.01%  ABE      libc.so.6                                           [.] malloc                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.82%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608c8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.70%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230c28                                                                                                                                                                                                                                                                                                                                              -      -            
     0.43%  ABE      ABE                                                 [.] enforce_ga_                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.42%  ABE      libopen-pal.so.80.0.5                               [.] 0x0000000000027238                                                                                                                                                                                                                                                                                                                                              -      -            
     0.37%  ABE      ABE                                                 [.] restrict3_                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.36%  ABE      ABE                                                 [.] rungekutta4_rout_                                                                                                                                                                                                                                                                                                                                               -      -            
     0.35%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000287ec0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.31%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000271f8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.31%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f14c8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.31%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1174                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1270                                                                                                                                                                                                                                                                                                                                              -      -            
     0.29%  ABE      libmpi.so.40.40.7                                   [.] 0x0000000000230bf0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.29%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1230                                                                                                                                                                                                                                                                                                                                              -      -            
     0.27%  ABE      libm.so.6                                           [.] pow@@GLIBC_2.29                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.27%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f114c                                                                                                                                                                                                                                                                                                                                              -      -            
     0.24%  ABE      ABE                                                 [.] symmetry_bd_                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.24%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1330                                                                                                                                                                                                                                                                                                                                              -      -            
     0.23%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1308                                                                                                                                                                                                                                                                                                                                              -      -            
