# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'cycles:u'
# Event count (approx.): 1666910272721
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                                                                                                                                                                                              IPC   [IPC Coverage]
# ........  .......  ..................................................  ..................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    26.98%  ABE      [unknown]                                           [k] 0xffffbb7146733314                                                                                                                                                                                                                                                                                                                                              -      -            
    22.28%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c4                                                                                                                                                                                                                                                                                                                                              -      -            
    16.15%  ABE      ABE                                                 [.] compute_rhs_bssn_                                                                                                                                                                                                                                                                                                                                               -      -            
     3.60%  ABE      ABE                                                 [.] lopsided_                                                                                                                                                                                                                                                                                                                                                       -      -            
     3.45%  ABE      ABE                                                 [.] polint_                                                                                                                                                                                                                                                                                                                                                         -      -            
     3.24%  ABE      ABE                                                 [.] kodis_                                                                                                                                                                                                                                                                                                                                                          -      -            
     3.17%  ABE      ABE                                                 [.] fdderivs_                                                                                                                                                                                                                                                                                                                                                       -      -            
     2.84%  ABE      libc.so.6                                           [.] __memcpy_sve                                                                                                                                                                                                                                                                                                                                                    -      -            
     2.46%  ABE      libc.so.6                                           [.] __memset_sve_zva64                                                                                                                                                                                                                                                                                                                                              -      -            
     1.69%  ABE      ABE                                                 [.] prolong3_                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.49%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1324                                                                                                                                                                                                                                                                                                                                              -      -            
     1.29%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13b0                                                                                                                                                                                                                                                                                                                                              -      -            
     1.15%  ABE      ABE                                                 [.] fderivs_                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.08%  ABE      libc.so.6                                           [.] malloc                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.92%  ABE      libc.so.6                                           [.] cfree@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                -      -            
     0.58%  ABE      ABE                                                 [.] enforce_ga_                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.57%  ABE      ABE                                                 [.] symmetry_bd_                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.49%  ABE      ABE                                                 [.] rungekutta4_rout_                                                                                                                                                                                                                                                                                                                                               -      -            
     0.40%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f13c0                                                                                                                                                                                                                                                                                                                                              -      -            
     0.39%  ABE      libopen-pal.so.80.0.5                               [.] opal_progress                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.38%  ABE      libm.so.6                                           [.] pow@@GLIBC_2.29                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.36%  ABE      ABE                                                 [.] restrict3_                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.34%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000608c8                                                                                                                                                                                                                                                                                                                                              -      -            
     0.33%  ABE      ABE                                                 [.] copy_                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.23%  ABE      [unknown]                                           [k] 0xffffbb7146738d0c                                                                                                                                                                                                                                                                                                                                              -      -            
     0.22%  ABE      libopen-pal.so.80.0.5                               [.] 0x00000000000f1348                                                                                                                                                                                                                                                                                                                                              -      -            
     0.19%  ABE      libopen-pal.so.80.0.5                               [.] 0x0000000000027238                                                                                                                                                                                                                                                                                                                                              -      -            
     0.18%  ABE      libc.so.6                                           [.] _int_free_chunk                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.17%  ABE      ABE                                                 [.] Parallel::build_gstl(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>**, MyList<Parallel::gridseg>**)                                                                                                                                                                                                                          -      -            
